Platform,Tier,Task ID,Task Name,Category,Description,Premium Task
"File System","Free","enum-shares","Enumerate Network Shares","Share Management","List all SMB shares with paths, descriptions, and permissions","No"
"File System","Free","create-smb-share","Create SMB Share with Permissions","Share Management","Create a new SMB file share with access control","No"
"File System","Free","remove-smb-share","Remove SMB Share","Share Management","Remove an existing SMB file share (preserves files)","No"
"File System","Free","audit-share-permissions","Audit Share Permissions Report","Permissions & Security","Generate detailed report of share permissions and access","No"
"File System","Free","fix-ntfs-inheritance","Fix NTFS Inheritance (Recursive)","Permissions & Security","Enable inheritance and propagate permissions recursively","No"
"File System","Free","set-folder-ownership","Set Folder Ownership (Bulk)","Permissions & Security","Take ownership of a folder and all contents","No"
"File System","Free","disk-space-report","Disk Space Report (All Drives)","Disk Reporting","Generate detailed disk space report with usage thresholds","No"
"File System","Free","find-large-files","Find Large Files (Top N)","Disk Reporting","Locate largest files by size threshold or top N count","No"
"File System","Free","cleanup-old-files","Delete Old Files (Age-Based)","Disk Cleanup","Remove files older than specified age with optional test mode","No"
"File System","Free","cleanup-temp-files","Clean Windows Temp Folders","Disk Cleanup","Remove temporary files from Windows and user temp directories","No"
"File System","Free","set-disk-quota","Set Disk Quota (Per User)","Quotas & Storage","Configure disk quotas with warning and limit thresholds","No"
"File System","Free","monitor-quota-usage","Monitor User Quota Usage","Quotas & Storage","Report users exceeding quota thresholds","No"
"File System","Free","file-type-breakdown","File Type Breakdown Report","Disk Reporting","Analyze disk usage by file extension with size statistics","No"
"File System","Free","duplicate-file-finder","Find Duplicate Files (Hash-Based)","Disk Cleanup","Locate duplicate files using file hash comparison","No"
"File System","Free","copy-files","Copy Files/Folders","File Operations","Copy files or folders with progress tracking","No"
"File System","Free","delete-files","Delete Files/Folders","File Operations","Safely delete files or folders with confirmation","No"
"File System","Free","search-files","Search for Files","File Operations","Search for files by name pattern, extension, or content","No"
"File System","Free","get-folder-size","Get Folder Size Report","File Operations","Calculate total size of folders and subfolders","No"
"File System","Free","compress-zip","Compress to ZIP Archive","File Operations","Create ZIP archive from files or folders","No"
"File System","Free","extract-zip","Extract ZIP Archive","File Operations","Extract contents from ZIP archive to folder","No"
"File System","Free","list-files","List Files in Directory","File Operations","Generate detailed file listing with sizes and dates","No"
"Network","Free","get-network-config","Get Network Configuration Report","IP Configuration","Detailed report of all network adapters with IP, DNS, gateway information","No"
"Network","Free","set-static-ip","Configure Static IP Address","IP Configuration","Set static IP, subnet, gateway, and DNS on a network adapter","No"
"Network","Free","set-dhcp","Enable DHCP on Adapter","IP Configuration","Configure network adapter to obtain IP address via DHCP","No"
"Network","Free","test-network-connectivity","Test Network Connectivity (Ping/Traceroute)","Diagnostics & Testing","Test connectivity to multiple hosts with ping and optional traceroute","No"
"Network","Free","dns-flush-cache","Flush DNS Cache","DNS Configuration","Clear DNS resolver cache and optionally register DNS","No"
"Network","Free","set-dns-servers","Set DNS Servers (Bulk)","DNS Configuration","Configure DNS servers on one or all network adapters","No"
"Network","Free","test-dns-resolution","Test DNS Resolution","DNS Configuration","Resolve hostnames using specified DNS servers","No"
"Network","Free","firewall-rule-create","Create Windows Firewall Rule","Firewall Management","Create inbound or outbound firewall rule","No"
"Network","Free","firewall-rule-list","List Firewall Rules (Filtered)","Firewall Management","List firewall rules with optional filtering","No"
"Network","Free","firewall-enable-disable","Enable/Disable Windows Firewall","Firewall Management","Enable or disable Windows Firewall for all profiles","No"
"Network","Free","reset-network-stack","Reset Network Stack (Winsock/TCP/IP)","Diagnostics & Testing","Reset TCP/IP stack and Winsock catalog (requires reboot)","No"
"Network","Free","port-scan-test","Test Open Ports (Port Scan)","Diagnostics & Testing","Test connectivity to specific ports on a target host","No"
"Network","Free","disable-ipv6","Disable IPv6 on Adapters","IP Configuration","Disable IPv6 protocol on network adapters","No"
"Network","Free","network-adapter-reset","Reset Network Adapter","Diagnostics & Testing","Disable and re-enable network adapter (equivalent to hardware reset)","No"
"Network","Free","set-nic-speed-duplex","Set NIC Speed & Duplex","Advanced NIC Config","Configure network adapter speed and duplex mode","No"
"Network","Free","test-port","Test Port Connectivity","Troubleshooting","Test if specific TCP port is open and accessible","No"
"Network","Free","get-firewall-rules","Get Firewall Rules Report","Firewall","List Windows Firewall rules with details","No"
"Network","Free","add-firewall-rule","Add Windows Firewall Rule","Firewall","Create new inbound or outbound firewall rule","No"
"Network","Free","traceroute","Trace Network Route","Troubleshooting","Trace network path to destination with hop-by-hop details","No"
"Network","Free","ping-multiple","Ping Multiple Hosts","Troubleshooting","Test connectivity to multiple hosts and generate report","No"
"Services","Free","get-service-status","Get Service Status Report","Service Inventory","List Windows services with status, startup type, and account","No"
"Services","Free","start-service","Start Windows Service","Service Control","Start a stopped Windows service","No"
